id,season,week,home_team_x,home_points,away_team_x,away_points,homewin,cnt
400869690.0,2016.0,11.0,Iowa,14.0,Michigan,13.0,True,2
400763449.0,2015.0,10.0,Kansas State,24.0,Baylor,31.0,False,2
401112453.0,2019.0,3.0,Western Kentucky,21.0,Louisville,38.0,False,2
401236013.0,2020.0,9.0,Baylor,23.0,TCU,33.0,False,2
401013138.0,2018.0,6.0,Louisville,31.0,Georgia Tech,66.0,False,2
400787302.0,2015.0,1.0,Idaho,28.0,Ohio,45.0,False,2
400934560.0,2017.0,13.0,Oklahoma,59.0,West Virginia,31.0,True,2
401021698.0,2018.0,13.0,Texas State,7.0,Arkansas State,33.0,False,2
401013347.0,2018.0,5.0,Penn State,26.0,Ohio State,27.0,False,2
401012802.0,2018.0,13.0,Utah,35.0,BYU,27.0,True,2
400603916.0,2015.0,13.0,Kentucky,24.0,Louisville,38.0,False,2
400757030.0,2015.0,3.0,Oregon,61.0,Georgia State,28.0,True,2
400933916.0,2017.0,11.0,Mississippi State,24.0,Alabama,31.0,False,2
400945266.0,2017.0,5.0,UNLV,41.0,San José State,13.0,True,2
400763568.0,2015.0,11.0,Northwestern,21.0,Purdue,14.0,True,2
401015047.0,2018.0,12.0,Marshall,23.0,UT San Antonio,0.0,True,2
400787456.0,2015.0,8.0,Idaho,27.0,Louisiana Monroe,13.0,True,2
400934502.0,2017.0,2.0,Ohio State,16.0,Oklahoma,31.0,False,2
401215321.0,2020.0,9.0,Georgia Southern,24.0,South Alabama,17.0,True,2
400869148.0,2016.0,9.0,Utah,24.0,Washington,31.0,False,2
400757021.0,2015.0,2.0,Rutgers,34.0,Washington State,37.0,False,2
401114226.0,2019.0,5.0,Utah,38.0,Washington State,13.0,True,2
400756910.0,2015.0,2.0,Georgia Tech,65.0,Tulane,10.0,True,2
400756899.0,2015.0,1.0,Florida State,59.0,Texas State,16.0,True,2
400869856.0,2016.0,14.0,Georgia Southern,28.0,Troy,24.0,True,2
400934533.0,2017.0,8.0,Baylor,36.0,West Virginia,38.0,False,2
401110868.0,2019.0,14.0,Kentucky,45.0,Louisville,13.0,True,2
401015027.0,2018.0,9.0,Western Kentucky,17.0,Florida International,38.0,False,2
400938652.0,2017.0,10.0,Middle Tennessee,30.0,UTEP,3.0,True,2
401121949.0,2019.0,6.0,Georgia State,52.0,Arkansas State,38.0,True,2
400955154.0,2017.0,14.0,Boise State,17.0,Fresno State,14.0,True,2
400935329.0,2017.0,13.0,Utah,34.0,Colorado,13.0,True,2
401121948.0,2019.0,6.0,South Alabama,17.0,Georgia Southern,20.0,False,2
401015020.0,2018.0,8.0,Florida International,36.0,Rice,17.0,True,2
401247324.0,2020.0,12.0,Rutgers,42.0,Michigan,48.0,False,2
401015012.0,2018.0,6.0,Rice,3.0,UT San Antonio,20.0,False,2
401114274.0,2019.0,6.0,Florida International,44.0,UMass,0.0,True,2
400934557.0,2017.0,13.0,Texas,23.0,Texas Tech,27.0,False,2
401110841.0,2019.0,10.0,Texas A&M,45.0,UT San Antonio,14.0,True,2
401112239.0,2019.0,2.0,Colorado,34.0,Nebraska,31.0,True,2
