id,season,home_team_x,home_points,away_team_x,away_points
400756923.0,2015.0,Miami,36.0,Nebraska,33.0
400756923.0,2015.0,Miami,36.0,Nebraska,33.0
400763516.0,2015.0,Wisconsin,28.0,Troy,3.0
400763516.0,2015.0,Wisconsin,28.0,Troy,3.0
400763419.0,2015.0,Oklahoma State,69.0,UT San Antonio,14.0
400763419.0,2015.0,Oklahoma State,69.0,UT San Antonio,14.0
400603854.0,2015.0,LSU,45.0,Auburn,21.0
400603854.0,2015.0,LSU,45.0,Auburn,21.0
400764866.0,2015.0,Navy,45.0,East Carolina,21.0
400764866.0,2015.0,Navy,45.0,East Carolina,21.0
400763514.0,2015.0,Ohio State,20.0,Northern Illinois,13.0
400763514.0,2015.0,Ohio State,20.0,Northern Illinois,13.0
400756922.0,2015.0,Notre Dame,30.0,Georgia Tech,22.0
400756922.0,2015.0,Notre Dame,30.0,Georgia Tech,22.0
400763509.0,2015.0,Indiana,38.0,Western Kentucky,35.0
400763509.0,2015.0,Indiana,38.0,Western Kentucky,35.0
400757032.0,2015.0,Washington,31.0,Utah State,17.0
400757032.0,2015.0,Washington,31.0,Utah State,17.0
400603852.0,2015.0,Georgia,52.0,South Carolina,20.0
400603852.0,2015.0,Georgia,52.0,South Carolina,20.0
400763603.0,2015.0,Middle Tennessee,73.0,Charlotte,14.0
400763603.0,2015.0,Middle Tennessee,73.0,Charlotte,14.0
400763421.0,2015.0,Toledo,30.0,Iowa State,23.0
400763421.0,2015.0,Toledo,30.0,Iowa State,23.0
400757031.0,2015.0,Oregon State,35.0,San José State,21.0
400757031.0,2015.0,Oregon State,35.0,San José State,21.0
400756926.0,2015.0,Iowa,27.0,Pittsburgh,24.0
400756926.0,2015.0,Iowa,27.0,Pittsburgh,24.0
400763515.0,2015.0,Penn State,28.0,Rutgers,3.0
400763515.0,2015.0,Penn State,28.0,Rutgers,3.0
400763420.0,2015.0,TCU,56.0,SMU,37.0
400763420.0,2015.0,TCU,56.0,SMU,37.0
400757033.0,2015.0,Washington State,31.0,Wyoming,14.0
400757033.0,2015.0,Washington State,31.0,Wyoming,14.0
400757027.0,2015.0,UCLA,24.0,BYU,23.0
400757027.0,2015.0,UCLA,24.0,BYU,23.0
400764870.0,2015.0,Memphis,53.0,Cincinnati,46.0
400764870.0,2015.0,Memphis,53.0,Cincinnati,46.0
400763519.0,2015.0,Michigan,31.0,BYU,0.0
400763519.0,2015.0,Michigan,31.0,BYU,0.0
400756933.0,2015.0,Duke,34.0,Georgia Tech,20.0
400756933.0,2015.0,Duke,34.0,Georgia Tech,20.0
400763520.0,2015.0,Michigan State,30.0,Central Michigan,10.0
400763520.0,2015.0,Michigan State,30.0,Central Michigan,10.0
400603848.0,2015.0,South Carolina,31.0,UCF,14.0
400603848.0,2015.0,South Carolina,31.0,UCF,14.0
400763522.0,2015.0,Nebraska,36.0,Southern Mississippi,28.0
400763522.0,2015.0,Nebraska,36.0,Southern Mississippi,28.0
400763423.0,2015.0,Rutgers,27.0,Kansas,14.0
400763423.0,2015.0,Rutgers,27.0,Kansas,14.0
