id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401234616,2020,7,2020-10-17T20:00:00.000Z,BB&T Field,Wake Forest,40.0,Virginia,ACC,23.0
401237112,2020,7,2020-10-17T20:00:00.000Z,Davis Wade Stadium,Mississippi State,14.0,Texas A&M,SEC,28.0
401250215,2020,7,2020-10-17T20:00:00.000Z,Paulson Stadium,Georgia Southern,41.0,UMass,FBS Independents,0.0
401249652,2020,7,2020-10-17T21:00:00.000Z,Homer Bryce Stadium,Stephen F. Austin,31.0,Angelo State,Lone Star,12.0
401207150,2020,7,2020-10-17T21:00:00.000Z,"Johnny Red"""" Floyd Stadium""""",Middle Tennessee,35.0,North Texas,Conference USA,52.0
401207149,2020,7,2020-10-17T22:00:00.000Z,Joe Aillet Stadium,Louisiana Tech,17.0,Marshall,Conference USA,35.0
401234612,2020,7,2020-10-17T23:30:00.000Z,Bobby Bowden Field at Doak Campbell Stadium,Florida State,31.0,North Carolina,ACC,28.0
401237107,2020,7,2020-10-18T00:00:00.000Z,Bryant Denny Stadium,Alabama,41.0,Georgia,SEC,24.0
401234609,2020,7,2020-10-18T00:00:00.000Z,Lane Stadium,Virginia Tech,40.0,Boston College,ACC,14.0
401236382,2020,7,2020-10-18T00:00:00.000Z,Plaster Sports Complex,Missouri State,24.0,Central Arkansas,Southland,33.0
401240642,2020,8,2020-10-22T23:30:00.000Z,Kidd Brewer Stadium,Appalachian State,45.0,Arkansas State,Sun Belt,17.0
401250783,2020,8,2020-10-23T23:00:00.000Z,FIU Stadium,Florida International,10.0,Jacksonville State,OVC,19.0
401212479,2020,8,2020-10-23T23:30:00.000Z,Raymond James Stadium,South Florida,13.0,Tulsa,American Athletic,42.0
401238036,2020,8,2020-10-24T00:00:00.000Z,Legion Field,UAB,20.0,Louisiana,Sun Belt,24.0
401247297,2020,8,2020-10-24T00:00:00.000Z,Camp Randall Stadium,Wisconsin,45.0,Illinois,Big Ten,7.0
401247293,2020,8,2020-10-24T16:00:00.000Z,Ohio Stadium,Ohio State,52.0,Nebraska,Big Ten,17.0
401240116,2020,8,2020-10-24T16:00:00.000Z,Blaik Field at Michie Stadium,Army,49.0,Mercer,Southern,3.0
401247299,2020,8,2020-10-24T16:00:00.000Z,Spartan Stadium,Michigan State,27.0,Rutgers,Big Ten,38.0
401212516,2020,8,2020-10-24T16:00:00.000Z,Liberty Bowl Memorial Stadium,Memphis,41.0,Temple,American Athletic,29.0
401236011,2020,8,2020-10-24T16:00:00.000Z,Amon G. Carter Stadium,TCU,14.0,Oklahoma,Big 12,33.0
401207154,2020,8,2020-10-24T16:00:00.000Z,Jerry Richardson Stadium,Charlotte,38.0,UTEP,Conference USA,28.0
401234621,2020,8,2020-10-24T16:00:00.000Z,Kenan Memorial Stadium,North Carolina,48.0,NC State,ACC,21.0
401236010,2020,8,2020-10-24T16:00:00.000Z,Bill Snyder Family Football Stadium,Kansas State,55.0,Kansas,Big 12,14.0
401234618,2020,8,2020-10-24T16:00:00.000Z,Memorial Stadium,Clemson,47.0,Syracuse,ACC,21.0
401234619,2020,8,2020-10-24T16:00:00.000Z,Papa John's Cardinal Stadium,Louisville,48.0,Florida State,ACC,16.0
401215316,2020,8,2020-10-24T16:00:00.000Z,Brooks Stadium,Coastal Carolina,28.0,Georgia Southern,Sun Belt,14.0
401237115,2020,8,2020-10-24T16:00:00.000Z,Vaught-Hemingway Stadium,Ole Miss,28.0,Auburn,SEC,35.0
401207160,2020,8,2020-10-24T17:00:00.000Z,Williams Stadium,Liberty,56.0,Southern Mississippi,Conference USA,35.0
401248039,2020,8,2020-10-24T17:30:00.000Z,Dignity Health Sports Park,Stephen F. Austin,35.0,Abilene Christian,Southland,32.0
401212524,2020,8,2020-10-24T18:00:00.000Z,Bright House Networks Stadium,UCF,51.0,Tulane,American Athletic,34.0
401207156,2020,8,2020-10-24T18:30:00.000Z,Joan C. Edwards Stadium,Marshall,20.0,Florida Atlantic,Conference USA,9.0
401239871,2020,8,2020-10-24T19:00:00.000Z,Roy Kidd Stadium,Eastern Kentucky,31.0,Central Arkansas,Southland,28.0
401247295,2020,8,2020-10-24T19:30:00.000Z,Memorial Stadium,Indiana,36.0,Penn State,Big Ten,35.0
